0, 0.143571, 0, 0.66304, 0, 0.463112, 0, 0.576941, 0, 0.433212, 0, 0.49366, 0, 0.0906434, 0, 0.189404, 0, 0.670919, 0, 0.180887, 0
0.301293, 0.270452, 0.490797, 0.423509, 0.90919, 0.355771, 0.336719, 0.444668, 0.568368, 0.483282, 0.550671, 0.461644, 0.248881, 0.403215, 0.911316, 0.431616, 0.264297, 0.177329, 0.666678, 0.412973, 0.498561
0, 0.198389, 0, 0.238334, 0, 0.592769, 0, 0.576905, 0, 0.358468, 0, 0.74143, 0, 0.617945, 0, 0.590059, 0, 0.250317, 0, 0.0249363, 0
0.748924, 0.421028, 0.524082, 0.357009, 0.566648, 0.167704, 0.638364, 0.579725, 0.931427, 0.467994, 0.462935, 0.56127, 0.333583, 0.334934, 0.60415, 0.190869, 0.508927, 0.281786, 0.296262, 0.400441, 0.84018
0, 0.404384, 0, 0.271797, 0, 0.520105, 0, 0.112096, 0, 0.467595, 0, 0.869606, 0, 0.344408, 0, 0.467687, 0, 0.537481, 0, 0.651503, 0
0.405803, 0.151089, 0.311184, 0.310993, 0.552334, 0.497351, 0.874907, 0.539119, 0.661073, 0.500068, 0.580657, 0.288518, 0.531539, 0.459742, 0.779536, 0.408131, 0.442378, 0.529417, 0.0866217, 0.450574, 0.174758
0, 0.323645, 0, 0.0494001, 0, 0.158797, 0, 0.313101, 0, 0.36226, 0, 0.234362, 0, 0.0299931, 0, 0.357541, 0, 0.960431, 0, 0.646246, 0
0.166115, 0.146557, 0.357909, 0.283278, 0.457152, 0.417895, 0.664523, 0.331771, 0.19518, 0.138171, 0.2503, 0.21218, 0.16777, 0.143804, 0.260206, 0.246357, 0.145229, 0.374536, 0.85503, 0.439468, 0.259562
0, 0.0936668, 0, 0.170503, 0, 0.366451, 0, 0.291698, 0, 0.109474, 0, 0.207595, 0, 0.274427, 0, 0.356398, 0, 0.0889029, 0, 0.279573, 0
0.168983, 0.244846, 0.59572, 0.258727, 0.124272, 0.298243, 0.703433, 0.376844, 0.417349, 0.200167, 0.119471, 0.182637, 0.0811064, 0.293574, 0.216897, 0.306219, 0.130422, 0.224015, 0.439014, 0.212203, 0.40625
0, 0.557259, 0, 0.381074, 0, 0.240829, 0, 0.395323, 0, 0.244828, 0, 0.331466, 0, 0.549748, 0, 0.458451, 0, 0.377296, 0, 0.320736, 0
0.41131, 0.506118, 0.984977, 0.538175, 0.493779, 0.369486, 0.533914, 0.0929604, 0.487443, 0.297353, 0.411627, 0.379404, 0.757745, 0.266101, 0.340539, 0.332379, 0.373246, 0.160795, 0.261528, 0.109632, 0.114505
0, 0.223895, 0, 0.373407, 0, 0.224218, 0, 0.629111, 0, 0.48416, 0, 0.340529, 0, 0.431198, 0, 0.360672, 0, 0.164768, 0, 0.112654, 0
0.504728, 0.305367, 0.333329, 0.311887, 0.262433, 0.169669, 0.131577, 0.304465, 0.874188, 0.483425, 0.419022, 0.516252, 0.82198, 0.265554, 0.604416, 0.345216, 0.267991, 0.142417, 0.0434594, 0.244317, 0.534269
0, 0.183773, 0, 0.311413, 0, 0.0974797, 0, 0.309638, 0, 0.177042, 0, 0.551421, 0, 0.877055, 0, 0.256098, 0, 0.253014, 0, 0.546082, 0
0.202614, 0.147406, 0.190598, 0.123868, 0.43463, 0.198738, 0.28179, 0.159129, 0.338851, 0.19886, 0.220262, 0.34103, 0.387662, 0.358558, 0.466226, 0.29129, 0.494543, 0.36896, 0.509383, 0.45516, 0.489852
0, 0.0901435, 0, 0.3618, 0, 0.518605, 0, 0.434832, 0, 0.0810794, 0, 0.399476, 0, 0.156113, 0, 0.318331, 0, 0.364385, 0, 0.918755, 0
0.10278, 0.142062, 0.334698, 0.176886, 0.409874, 0.240082, 0.126779, 0.271715, 0.144747, 0.134611, 0.239023, 0.136958, 0.344876, 0.193091, 0.235594, 0.251135, 0.299894, 0.154545, 0.280461, 0.323011, 0.646289
0, 0.322909, 0, 0.249881, 0, 0.148197, 0, 0.325717, 0, 0.218849, 0, 0.174877, 0, 0.393506, 0, 0.212929, 0, 0.152002, 0, 0.0231011, 0
0.612059, 0.424669, 0.681472, 0.273991, 0.577679, 0.465286, 0.738241, 0.287185, 0.0812436, 0.125904, 0.311757, 0.197657, 0.390989, 0.0951797, 0.394384, 0.365765, 0.417522, 0.239659, 0.341336, 0.231036, 0.317023
0, 0.207409, 0, 1.01091, 0, 0.0174765, 0, 0.344955, 0, 0.194536, 0, 0.392764, 0, 0.422012, 0, 0.487628, 0, 0.255545, 0, 0.0853731, 0
0.363534, 0.225542, 0.38954, 0.358423, 0.745377, 0.613681, 0.990105, 0.594361, 0.682081, 0.358885, 0.26215, 0.308904, 0.682355, 0.318937, 0.218706, 0.286363, 0.361619, 0.234576, 0.285492, 0.197904, 0.267646
0, 0.316222, 0, 0.139809, 0, 0.236833, 0, 0.0883408, 0, 0.925739, 0, 0.170547, 0, 0.0524826, 0, 0.366243, 0, 0.172891, 0, 0.11288, 0
0.174027, 0.138052, 0.430098, 0.191802, 0.194579, 0.180619, 0.31263, 0.171795, 0.170867, 0.319174, 0.969647, 0.769013, 1.2115, 0.839669, 1.16327, 0.487966, 0.321122, 0.218208, 0.0603408, 0.188494, 0.351795
0, 0.313319, 0, 0.320688, 0, 0.0667461, 0, 0.191728, 0, 0.190516, 0, 0.128073, 0, 0.00854808, 0, 0.836264, 0, 0.427286, 0, 0.386011, 0
0.183567, 0.207063, 0.486018, 0.213411, 0.160849, 0.155184, 0.266361, 0.238503, 0.292845, 0.239236, 0.374847, 0.238452, 0.336127, 0.224207, 0.304326, 0.302395, 0.517592, 0.49594, 0.80412, 0.604515, 0.966279
0, 0.497317, 0, 0.105056, 0, 0.318815, 0, 0.240757, 0, 0.0983818, 0, 0.400876, 0, 0.324916, 0, 0.0307907, 0, 0.262939, 0, 0.193995, 0